"","x"
"120",0.612297816809404
"121",0.868234615186028
"122",1.12757387686088
"123",1.06466749208903
"124",0.909573257257692
"125",0.718719475480762
"126",0.934966713965248
"127",0.658940628417348
"128",0.651624698912705
"129",0.873256571369812
"130",0.91274631753023
"131",1.07787951208559
"132",0.908292898954128
"133",1.04018333710045
"134",0.988131989590385
"135",1.0972598936014
"136",0.984851560265753
"137",0.988634128247851
"138",0.96376129028433
"139",0.930756875301738
"140",0.761181637165701
"141",0.893950913667267
"142",0.804837239345591
"143",0.83982329690616
"144",0.842618179845506
"145",0.929713819294301
"146",0.714412931874284
"147",0.735744637958452
"148",0.632058464901708
"149",0.684404620461591
"150",0.8039703164512
"151",0.577757583350359
"152",0.615076257773118
"153",0.57415401095873
"154",0.618862032500212
"155",0.639108152933045
"156",0.420433425321279
"157",0.489919443300926
"158",0.421499130111892
"159",0.481473223759723
"160",0.518985592211675
"161",0.571743328625578
"162",0.535690315410026
"163",0.468588014016069
"164",0.437609203047653
"165",0.438520237794367
"166",0.453774616364966
"167",0.514623147632814
"168",0.470589953113141
"169",0.414649380833417
"170",0.465564942799853
"171",0.486268460292876
"172",0.58721139094606
"173",0.577975034141102
"174",0.588453827358128
"175",0.442737525649497
"176",0.513187311970848
"177",0.523657452001573
"178",0.865561016434268
"179",0.814916203213428
"180",0.769950883612199
"181",0.835159452621101
"182",0.765388896233401
"183",0.729875469973004
"184",0.543441315806213
"185",0.525302068223382
"186",0.426732669109258
"187",0.529676872259213
"188",0.598481868696801
"189",0.531999579830233
"190",0.675806198266852
"191",0.845261668103143
"192",0.861171906787215
"193",0.696589312498504
"194",0.742097354873192
"195",0.634744511357842
"196",0.529764800532267
"197",0.496467953645056
"198",0.62754288180671
"199",0.619750997283109
"200",0.620135953437473
"201",0.693884718435476
"202",0.748404623146603
"203",0.726851902789827
"204",0.726851902789827
"205",0.89036806184687
"206",0.881816054537888
"207",0.803066310768579
"208",0.902218411629832
"209",0.990242460537531
"210",0.810506580080982
"211",0.828226328298194
"212",1.05379750412493
"213",1.05379750412493
"214",0.982761407738804
"215",0.982761407738804
"216",1.08306307265205
"217",0.850915957753732
"218",0.947098187089685
"219",1.02553389897637
"220",1.00645955774707
"221",1.18697028610561
"222",0.844774295464757
"223",0.924939658489208
"224",0.680973044993737
"225",0.650729446537978
"226",0.806987520757581
"227",0.83257925682611
"228",0.771821000287861
"229",1.09160317308155
"230",1.1246251432051
"231",1.2085491273007
"232",1.20946193999004
"233",1.14611406349536
"234",1.12089038407378
